code,country,school_age_population,urban,pre-primary,primary,secondary,National_bws,National_lws,National_nws,Urban_bws,Urban_lws,Urban_nws,Rural_bws,Rural_lws,Rural_nws,Pre-primary_bws,Pre-primary_lws,Pre-primary_nws,Primary_bws,Primary_lws,Primary_nws,Secondary_bws,Secondary_lws,Secondary_nws,National_bss,National_lss,National_nss,Urban_bss,Urban_lss,Urban_nss,Rural_bss,Rural_lss,Rural_nss,Pre-primary_bss,Pre-primary_lss,Pre-primary_nss,Primary_bss,Primary_lss,Primary_nss,Secondary_bss,Secondary_lss,Secondary_nss,National_bhs,National_lhs,National_nhs,Urban_bhs,Urban_lhs,Urban_nhs,Rural_bss,Rural_lss,Rural_nhs,Pre-primary_bhs,Pre-primary_lhs,Pre-primary_nhs,Primary_bhs,Primary_lhs,Primary_nhs,Secondary_bhs,Secondary_lhs,Secondary_nhs
AFG,Afghanistan,13162.48145,25.7539978,8.7924757,48.25932312,42.94820404,65.63266503,12.61733497,21.75,0,0,23.55767,0,0,25.520835,0,0,0,58.15,17.35,24.5,74.06666667,0,0,38.29040027,35.95959973,25.75,0,0,30.76923,0,0,20.312505,0,0,0,26.13333333,48.11666667,25.75,65,0,0,6.484962653,0,0,0,0,0,0,0,0,0,0,0,3.433333333,0,0,9.9942,0,0
ALB,Albania,503.0920105,61.22896194,14.77980137,31.69022751,53.52977371,59.43798459,0,0,0,0,0,0,0,0,0,0,0,55.843735,0,0,66.25046669,0,0,89.19905913,0,0,0,0,0,0,0,0,0,0,0,82.75689,0,0,87.87526546,0,0,81.70549016,0,0,0,0,0,0,0,0,0,0,0,71.02757,0,0,83.87890936,0,0
DZA,Algeria,9097.579102,73.18901062,6.23321867,46.25461197,47.51216888,92.15133619,<1,7.848663806,0,0,0,0,0,0,0,0,0,85.3,<1,14.7,98.2,<1,1.14,98.95,1.05,<1,0,0,0,0,0,0,0,0,0,97.78,2.22,<1,>99,<1,<1,98.58,0,0,0,0,0,0,0,0,0,0,0,97.78,0,0,>99,0,0
AND,Andorra,18.88199997,87.98326111,18.74271774,38.88888931,42.36839294,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
AGO,Angola,12367.51074,66.17700195,17.27104187,46.07851028,36.65044785,0,0,68.47061194,0,0,0,0,0,0,0,0,0,0,0,81.5,0,0,51.75798622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATG,Antigua and Barbuda,19.66600037,24.50422096,15.09712219,49.46099854,35.44187927,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
ARG,Argentina,10875.03613,91.99099731,20.44214821,40.30599976,39.25186157,0,0,10.1,0,0,1.625231911,0,0,17.28244275,0,0,0,0,0,10.07518797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ARM,Armenia,563.835022,63.21902847,19.11818123,29.81705666,51.06476212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,4424.317871,86.12398529,7.35539341,51.30910492,41.33547974,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
AZE,Azerbaijan,1848.348022,56.03100586,25.18232536,26.53537178,48.28224945,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1,>99,<1,<1,0,0,0,0,0,0,0,0,0,>99,<1,<1,>99,<1,<1
